Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_F1_2,EMATent_MacroF1,MIGateOnlyRelaxed_Acc,MIGateOnlyRelaxed_F1_0,MIGateOnlyRelaxed_F1_1,MIGateOnlyRelaxed_F1_2,MIGateOnlyRelaxed_MacroF1,MIGateAwareRelaxed_Acc,MIGateAwareRelaxed_F1_0,MIGateAwareRelaxed_F1_1,MIGateAwareRelaxed_F1_2,MIGateAwareRelaxed_MacroF1,MIDynamicFixedEMARelaxed_Acc,MIDynamicFixedEMARelaxed_F1_0,MIDynamicFixedEMARelaxed_F1_1,MIDynamicFixedEMARelaxed_F1_2,MIDynamicFixedEMARelaxed_MacroF1,MIDynamicRelaxedAnchor_Acc,MIDynamicRelaxedAnchor_F1_0,MIDynamicRelaxedAnchor_F1_1,MIDynamicRelaxedAnchor_F1_2,MIDynamicRelaxedAnchor_MacroF1
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.6052631578947368,0.5476923076923077,0.5670886075949367,0.78125,0.6320103050957481,0.5635964912280702,0.5696969696969697,0.47956403269754766,0.6976744186046512,0.5823118069997228,0.5109649122807017,0.699724517906336,0.21830985915492956,0.5660377358490566,0.49469070430344075,0.6425438596491229,0.6035502958579881,0.5933503836317136,0.819672131147541,0.6721909368790809,0.5570175438596491,0.6888888888888889,0.3536977491961415,0.6224066390041494,0.5549977590297266
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.5336322869955157,0.8170426065162907,0.013333333333333334,0.4314868804664723,0.4206209401053654,0.5201793721973094,0.7989821882951654,0.013513513513513514,0.42165242165242167,0.4113827078203669,0.6457399103139013,0.9145299145299145,0.0,0.519298245614035,0.47794272004798316,0.5650224215246636,0.8543689320388349,0.02702702702702703,0.4457831325301205,0.44239303053199414,0.6524663677130045,0.9175475687103594,0.0,0.5285714285714286,0.48203966576059604
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.6067415730337079,0.9393258426966292,0.4332129963898917,0.011904761904761904,0.4614812003304276,0.5595505617977528,0.9149425287356322,0.3574144486692015,0.03125,0.4345356591349446,0.5595505617977528,0.9297052154195011,0.33587786259541985,0.0,0.4218610260049737,0.5797752808988764,0.91324200913242,0.4059040590405904,0.03314917127071823,0.4507650798145762,0.5707865168539326,0.9206349206349206,0.3805970149253731,0.0,0.4337439785200979
S14,0.6247191011235955,0.9626373626373627,0.41843971631205673,0.0,0.46035902631647313,0.5573033707865168,0.7803617571059431,0.5444126074498568,0.025974025974025976,0.45024946350994194,0.5078651685393258,0.7345844504021448,0.49002849002849,0.03614457831325301,0.42025250624796257,0.5685393258426966,0.8599033816425121,0.46254071661237783,0.047337278106508875,0.4565937921204663,0.5415730337078651,0.7803617571059431,0.5117647058823529,0.03680981595092025,0.44297875964640543,0.5707865168539326,0.8626506024096385,0.47058823529411764,0.03550295857988166,0.4562472654278793
S15,0.9082774049217002,0.9957264957264957,0.8681672025723473,0.6608695652173913,0.8415877545054115,0.7494407158836689,0.827930174563591,0.7247191011235955,0.583941605839416,0.7121969605088676,0.7136465324384788,0.7855297157622739,0.6939890710382514,0.5673758865248227,0.6822982244417827,0.8053691275167785,0.8992974238875878,0.7647058823529411,0.5984251968503937,0.7541428343636408,0.7225950782997763,0.8040712468193384,0.702247191011236,0.5517241379310345,0.6860141919205361,0.7897091722595079,0.8836104513064132,0.750733137829912,0.5909090909090909,0.7417508933484721
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.9774774774774775,0.980561555075594,0.9816849816849816,0.9605263157894737,0.9742576175166832,0.9369369369369369,0.9783549783549783,0.9273356401384083,0.8175182481751825,0.907736288889523,0.8536036036036037,0.9978768577494692,0.8072289156626506,0.23529411764705882,0.6801332970197262,0.9662162162162162,0.9680170575692963,0.9962825278810409,0.9066666666666666,0.9569887507056679,0.8581081081081081,0.9957446808510638,0.8145896656534954,0.29213483146067415,0.7008230593217445
S17,0.75,0.9936305732484076,0.3825136612021858,0.5658914728682171,0.6473452357729368,0.6973684210526315,0.8267326732673267,0.6708074534161491,0.46236559139784944,0.6533019060271085,0.6513157894736842,0.7938931297709924,0.5733333333333334,0.502283105022831,0.6231698560423856,0.7894736842105263,0.9828326180257511,0.6120689655172413,0.5607476635514018,0.7185497490314647,0.7543859649122807,0.9103448275862069,0.674074074074074,0.5314009661835749,0.7052732892812853,0.7894736842105263,0.9828326180257511,0.6153846153846154,0.5566037735849056,0.718273668998424
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.660377358490566,0.9298245614035088,0.032,0.4943820224719101,0.48540219462513967,0.6367924528301887,0.8571428571428571,0.016129032258064516,0.4933920704845815,0.4555546532951677,0.5448113207547169,0.738255033557047,0.0,0.17054263565891473,0.3029325564053206,0.6721698113207547,0.8606060606060606,0.06299212598425197,0.6017699115044248,0.5084560326982458,0.5613207547169812,0.7465753424657534,0.0,0.28368794326241137,0.34342109524272163
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.7842227378190255,0.9402061855670103,0.7284768211920529,0.0,0.5562276689196878,0.7981438515081206,0.9617021276595744,0.7492063492063492,0.0,0.5703028256219745,0.7470997679814385,0.8958742632612967,0.6787003610108303,0.0,0.524858208090709,0.8236658932714617,0.978448275862069,0.7823343848580442,0.09876543209876543,0.6198493642729596,0.7563805104408353,0.9101796407185628,0.6877192982456141,0.0,0.5326329796547257
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.576036866359447,0.6855524079320113,0.6180048661800487,0.038461538461538464,0.4473396041911995,0.5714285714285714,0.6780626780626781,0.6225490196078431,0.03669724770642202,0.4457696484589811,0.6059907834101382,0.73224043715847,0.6397984886649875,0.0380952380952381,0.4700447213062318,0.5829493087557603,0.6929577464788732,0.6287128712871287,0.05504587155963303,0.4589054964418784,0.6082949308755761,0.73224043715847,0.6414141414141414,0.05660377358490566,0.47675278405250565
