Subject,Method,batch_size,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_class_2_count,pred_class_2_ratio,pred_max_class_ratio,pred_num_present_classes,batch_index,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes,true_imbalance,realistic_divergence_mean,realistic_divergence_min,realistic_divergence_max,realistic_prior_mean,realistic_prior_min,realistic_prior_max
S10,DynaMixEMATent,64,0.021838359534740448,0.109647236764431,0.109647236764431,0.08780887722969055,0.9155127690030996,0.051593059967570985,0.032894171029329296,0.05334789474124413,7.017423152923584,0.19999999999999996,0.0,0.1228618174791336,0.2,0.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,64,1.0,0,0.0,0,0.0,1.0,1,0.6666666666666667,,,,,,
S10,DynaMixEMATent,64,0.0708380714058876,0.6197370886802673,0.6197370886802673,0.5488989949226379,0.5653048225771253,0.24877405081879445,0.1859211266040802,0.30558961661913253,46.68059682846069,0.19999999999999996,1.0,0.9607859253883362,0.2,0.0,1.0,28.0,0.4375,34.0,0.53125,2.0,0.03125,0.53125,3.0,1,64,1.0,0,0.0,0,0.0,1.0,1,0.6666666666666667,,,,,,
S10,DynaMixEMATent,64,0.12457073479890823,0.8522350192070007,0.8522350192070007,0.7276642918586731,0.33753666217150013,0.4067928320663996,0.2556705057621002,0.546522521565405,101.22363805770874,0.19999999999999996,1.0,0.9265909790992737,0.2,0.0,1.0,8.0,0.125,45.0,0.703125,11.0,0.171875,0.703125,3.0,2,64,1.0,0,0.0,0,0.0,1.0,1,0.6666666666666667,,,,,,
S10,DynaMixEMATent,64,0.4422566294670105,0.9916843175888062,0.9916843175888062,0.5494276881217957,0.19402480899386929,0.5084698957294889,0.2975052952766418,0.7238060191923068,164.69143438339233,0.19999999999999996,1.0,0.5738235712051392,0.2,0.0,1.0,0.0,0.0,44.0,0.6875,20.0,0.3125,0.6875,2.0,3,44,0.6875,0,0.0,20,0.3125,0.6875,2,0.3541666666666667,,,,,,
S10,DynaMixEMATent,64,0.0290277898311615,0.18661987781524658,0.18661987781524658,0.15759208798408508,0.23750276496039927,0.7065112716950268,0.05598596334457397,0.7484118289153258,176.63510656356812,0.19999999999999996,0.0,0.17636066675186157,0.2,0.0,1.0,0.0,0.0,0.0,0.0,64.0,1.0,1.0,1.0,4,0,0.0,9,0.140625,55,0.859375,0.859375,2,0.5260416666666667,,,,,,
S10,DynaMixEMATent,64,0.05847683921456337,0.48097437620162964,0.48097437620162964,0.4224975109100342,0.16926742703185707,0.686440260107654,0.14429231286048888,0.8021901292044132,207.4174666404724,0.19999999999999996,1.0,0.5408391356468201,0.2,0.0,1.0,0.0,0.0,52.0,0.8125,12.0,0.1875,0.8125,2.0,5,0,0.0,64,1.0,0,0.0,1.0,1,0.6666666666666667,,,,,,
S10,DynaMixEMATent,64,0.04738762974739075,0.4314625561237335,0.4314625561237335,0.3840749263763428,0.13878942592343338,0.7317718072394466,0.12943876683712005,0.8405747687394826,235.03107023239136,0.19999999999999996,1.0,0.5791293382644653,0.2,0.0,1.0,0.0,0.0,62.0,0.96875,2.0,0.03125,0.96875,2.0,6,0,0.0,64,1.0,0,0.0,1.0,1,0.6666666666666667,,,,,,
S10,DynaMixEMATent,8,0.026550842449069023,0.44054853916168213,0.44054853916168213,0.41399767994880676,0.13459733122069756,0.7332381070307977,0.13216456174850463,0.8449045460832036,238.55545854568481,0.19999999999999996,1.0,0.6400321125984192,0.2,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,1.0,7,0,0.0,8,1.0,0,0.0,1.0,1,0.6666666666666667,,,,,,
S10,RealisticTTA,64,,,,,,,,,,,,,,,,,,,,,,,,0,64,1.0,0,0.0,0,0.0,1.0,1,,0.23685312271118164,0.09322894364595413,0.4325549006462097,0.21972377598285675,0.0,0.5
S10,RealisticTTA,64,,,,,,,,,,,,,,,,,,,,,,,,1,64,1.0,0,0.0,0,0.0,1.0,1,,1.5314611196517944,0.8568888902664185,2.401589870452881,0.22475790977478027,0.0,0.5
S10,RealisticTTA,64,,,,,,,,,,,,,,,,,,,,,,,,2,64,1.0,0,0.0,0,0.0,1.0,1,,3.8770389556884766,2.9058594703674316,5.33310604095459,0.2176138311624527,0.018449321389198303,0.5
