Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MacroF1,EmaTentGridS20E50B30M090_Acc,EmaTentGridS20E50B30M090_F1_0,EmaTentGridS20E50B30M090_F1_1,EmaTentGridS20E50B30M090_F1_2,EmaTentGridS20E50B30M090_MacroF1
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.5070754716981132,0.5995203836930456,0.4388185654008439,0.3917525773195876,0.47669717547115903,0.6226415094339622,0.7855711422845691,0.20125786163522014,0.5473684210526316,0.5113991416574737,0.6226415094339622,0.7933579335793358,0.0,0.5355191256830601,0.442959019754132
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.5150812064965197,0.6347826086956522,0.4163568773234201,0.3007518796992481,0.45063045523944006,0.5939675174013921,0.7505070993914807,0.5,0.13675213675213677,0.4624197453812058,0.7540603248259861,0.9047619047619048,0.6855123674911661,0.0,0.5300914240843569
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.5092165898617511,0.6179540709812108,0.5089605734767025,0.03636363636363636,0.3877594269405166,0.5944700460829493,0.6497695852534562,0.7076923076923077,0.03669724770642202,0.4647197135507286,0.6175115207373272,0.7493261455525606,0.6414141414141414,0.039603960396039604,0.47678141578758054
S5,0.8126410835214447,0.9409448818897638,0.7414634146341463,0.5202312138728323,0.7342131701322474,0.5033860045146726,0.5826086956521739,0.45791245791245794,0.32558139534883723,0.4553675163044897,0.5688487584650113,0.6809421841541756,0.48201438848920863,0.36879432624113473,0.5105836329615063,0.8939051918735892,0.985200845665962,0.8340080971659919,0.7228915662650602,0.8473668363656714
S6,0.6621315192743764,0.9587852494577006,0.029850746268656716,0.4808362369337979,0.4898240775533851,0.43537414965986393,0.5318181818181819,0.4028776978417266,0.23170731707317074,0.38880106557769306,0.5124716553287982,0.6167400881057269,0.4435483870967742,0.34444444444444444,0.4682443065489818,0.7142857142857143,0.9494505494505494,0.5070422535211268,0.4205607476635514,0.6256845168784092
S7,0.7568181818181818,0.8633879781420765,0.8571428571428571,0.0,0.5735102784283111,0.42727272727272725,0.4909090909090909,0.44787644787644787,0.2430939226519337,0.3939598204791575,0.5840909090909091,0.6452991452991453,0.6614173228346457,0.27848101265822783,0.5283991602640062,0.8636363636363636,0.9080459770114943,0.9508196721311475,0.47368421052631576,0.7775166198896525
S8,0.5633484162895928,0.5437352245862884,0.8401253918495298,0.0,0.46128687214527275,0.2986425339366516,0.4428904428904429,0.2716049382716049,0.03773584905660377,0.2507437434062172,0.4004524886877828,0.5788336933045356,0.36752136752136755,0.0,0.31545168694196773,0.5950226244343891,0.6226912928759895,0.788235294117647,0.13333333333333333,0.5147533067756566
S9,0.826879271070615,0.9957805907172996,0.7696969696969697,0.0,0.5884925201380898,0.48291571753986334,0.5700712589073634,0.46496815286624205,0.26573426573426573,0.43359122583595705,0.5968109339407744,0.6966292134831461,0.5945945945945946,0.2773722627737226,0.5228653569504877,0.806378132118451,0.9761388286334056,0.7678571428571429,0.0,0.5813319904968495
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.4934210526315789,0.5170068027210885,0.5185185185185185,0.3673469387755102,0.4676240866717057,0.36403508771929827,0.35359116022099446,0.35435435435435436,0.39631336405529954,0.3680862928768828,0.5482456140350878,0.6198830409356725,0.40350877192982454,0.6578947368421053,0.5604288499025342
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.36995515695067266,0.47641509433962265,0.3732394366197183,0.11956521739130435,0.3230732494502151,0.38789237668161436,0.5873417721518988,0.14345991561181434,0.3076923076923077,0.34616466515200695,0.5896860986547086,0.8873239436619719,0.0,0.4582043343653251,0.448509426009099
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.43595505617977526,0.5283018867924528,0.46366782006920415,0.016129032258064516,0.3360329130399072,0.47191011235955055,0.6480186480186481,0.41543026706231456,0.016129032258064516,0.3598593157796757,0.5932584269662922,0.9464285714285714,0.3895131086142322,0.0,0.44531389334760124
S14,0.6247191011235955,0.9626373626373627,0.41843971631205673,0.0,0.46035902631647313,0.40898876404494383,0.5324675324675324,0.3563636363636364,0.13071895424836602,0.33985004102651156,0.4696629213483146,0.7015706806282722,0.3729903536977492,0.17258883248730963,0.4157166222711104,0.5775280898876405,0.8402948402948403,0.5230769230769231,0.012658227848101266,0.4586766637399549
S15,0.9082774049217002,0.9957264957264957,0.8681672025723473,0.6608695652173913,0.8415877545054115,0.4697986577181208,0.5012406947890818,0.4280936454849498,0.46875,0.46602811342467726,0.5570469798657718,0.5490196078431373,0.5808219178082191,0.5232558139534884,0.5510324465349483,0.8411633109619687,0.9318181818181818,0.803680981595092,0.625,0.7868330544710913
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.5112612612612613,0.6009615384615384,0.5706214689265536,0.01694915254237288,0.3961773866434883,0.5608108108108109,0.6666666666666666,0.6263736263736264,0.0,0.431013431013431,0.8536036036036037,0.9936034115138592,0.8096676737160121,0.2727272727272727,0.6919994526523814
S17,0.75,0.9936305732484076,0.3825136612021858,0.5658914728682171,0.6473452357729368,0.4605263157894737,0.563894523326572,0.39057239057239057,0.21311475409836064,0.3891938893324411,0.5614035087719298,0.7210884353741497,0.4918032786885246,0.26506024096385544,0.49265065167550987,0.7850877192982456,0.9695652173913043,0.6641509433962264,0.5026737967914439,0.7121299858596583
Average,0.6915270213306569,0.8789767322451362,0.4747061783922873,0.23169121492041356,0.5284580418526122,0.45525804437039924,0.5460561870963366,0.4340301751682945,0.2110196595040841,0.3970353405895718,0.5231010410659246,0.6421059414786668,0.46288532956404804,0.2447299628692697,0.44990707797066154,0.7104009496502219,0.8718593789717068,0.5845658247351116,0.32365008749610724,0.5933584304009752
Std,0.11264482170550619,0.12828442985838676,0.33137619240725513,0.28621093588454666,0.13935469059685981,0.05920900145266059,0.05368727639816942,0.06992700602374441,0.14145634282418684,0.062069208473934254,0.08145602133398099,0.09894351429902552,0.15534298841443778,0.17440306706278758,0.07159253304018304,0.11926384718558908,0.11934424814440137,0.2773602619477351,0.2606823900890349,0.1340166410490499
