Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MacroF1,DynaMixEMATent_Acc,DynaMixEMATent_F1_0,DynaMixEMATent_F1_1,DynaMixEMATent_F1_2,DynaMixEMATent_MacroF1,TEMA_Acc,TEMA_F1_0,TEMA_F1_1,TEMA_F1_2,TEMA_MacroF1,DUA_Acc,DUA_F1_0,DUA_F1_1,DUA_F1_2,DUA_MacroF1,RoTTA_Acc,RoTTA_F1_0,RoTTA_F1_1,RoTTA_F1_2,RoTTA_MacroF1,NOTE_Acc,NOTE_F1_0,NOTE_F1_1,NOTE_F1_2,NOTE_MacroF1,DELTA_Acc,DELTA_F1_0,DELTA_F1_1,DELTA_F1_2,DELTA_MacroF1
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.5070754716981132,0.5995203836930456,0.4388185654008439,0.3917525773195876,0.47669717547115903,0.6226415094339622,0.7855711422845691,0.20125786163522014,0.5473684210526316,0.5113991416574737,0.6084905660377359,0.7692307692307693,0.0,0.49673202614379086,0.4219875984581867,0.5235849056603774,0.7266775777414075,0.0,0.0,0.24222585924713583,0.5235849056603774,0.7266775777414075,0.0,0.0,0.24222585924713583,0.5212264150943396,0.6057692307692307,0.45643153526970953,0.418848167539267,0.49368297785940246,0.5212264150943396,0.6057692307692307,0.45643153526970953,0.418848167539267,0.49368297785940246,0.6533018867924528,0.893719806763285,0.33695652173913043,0.488,0.5728921095008052
Average,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.5070754716981132,0.5995203836930456,0.4388185654008439,0.3917525773195876,0.47669717547115903,0.6226415094339622,0.7855711422845691,0.20125786163522014,0.5473684210526316,0.5113991416574737,0.6084905660377359,0.7692307692307693,0.0,0.49673202614379086,0.4219875984581867,0.5235849056603774,0.7266775777414075,0.0,0.0,0.24222585924713583,0.5235849056603774,0.7266775777414075,0.0,0.0,0.24222585924713583,0.5212264150943396,0.6057692307692307,0.45643153526970953,0.418848167539267,0.49368297785940246,0.5212264150943396,0.6057692307692307,0.45643153526970953,0.418848167539267,0.49368297785940246,0.6533018867924528,0.893719806763285,0.33695652173913043,0.488,0.5728921095008052
Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
